stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,8634,5:40:00,5:40:00,WEST TRANSFER: VIA MUIR FIELD,0.0195
2,8958,5:40:38,5:40:38,WEST TRANSFER: VIA MUIR FIELD,0.2598
3,8714,5:41:34,5:41:34,WEST TRANSFER: VIA MUIR FIELD,0.6132
4,8224,5:42:14,5:42:14,WEST TRANSFER: VIA MUIR FIELD,0.8643
5,8572,5:42:44,5:42:44,WEST TRANSFER: VIA MUIR FIELD,1.0569
6,8486,5:43:07,5:43:07,WEST TRANSFER: VIA MUIR FIELD,1.206
7,8351,5:43:43,5:43:43,WEST TRANSFER,1.4343
8,8739,5:44:09,5:44:09,WEST TRANSFER,1.5975
9,8855,5:44:37,5:44:37,WEST TRANSFER,1.7743
10,8441,5:45:11,5:45:11,WEST TRANSFER,1.9884
11,8985,5:45:45,5:45:45,WEST TRANSFER,2.2073
12,8551,5:46:03,5:46:03,WEST TRANSFER,2.3247
13,8149,5:46:27,5:46:27,WEST TRANSFER,2.4762
14,8829,5:47:00,5:47:00,WEST TRANSFER,2.6515
15,8157,5:47:44,5:47:44,WEST TRANSFER,2.8721
16,8101,5:48:19,5:48:19,WEST TRANSFER,3.0479
17,8401,5:49:09,5:49:09,WEST TRANSFER,3.2972
18,8363,5:49:44,5:49:44,WEST TRANSFER,3.4743
19,8297,5:50:21,5:50:21,WEST TRANSFER,3.6626
20,8341,5:50:47,5:50:47,WEST TRANSFER,3.7945
21,8685,5:51:22,5:51:22,WEST TRANSFER,3.9688
22,8173,5:52:01,5:52:01,WEST TRANSFER,4.1665
23,8633,5:52:36,5:52:36,WEST TRANSFER,4.3449
24,8605,5:53:21,5:53:21,WEST TRANSFER,4.5703
25,2383,5:54:26,5:54:26,WEST TRANSFER,4.8953
26,2665,5:54:50,5:54:50,WEST TRANSFER,5.0189
27,6100,5:56:00,5:56:00,DROP OFFS ONLY,5.3324
